r	exp	calc	diff
7.29	-3.39211	-3.18255	-0.20956
7.3	-3.38333	-3.21733	-0.166
7.31	-3.35626	-3.24074	-0.11552
7.32	-3.31097	-3.25255	-0.05842
7.33	-3.24786	-3.25264	0.00478
7.34	-3.16764	-3.24099	0.07335
7.35	-3.07131	-3.21766	0.14635
7.36	-2.9601	-3.18281	0.22271
7.37	-2.83549	-3.13664	0.30115
7.38	-2.69912	-3.07942	0.3803
7.39	-2.55274	-3.01145	0.45871
7.4	-2.39819	-2.93305	0.53486
7.41	-2.23733	-2.84458	0.60725
7.42	-2.07198	-2.74636	0.67438
7.43	-1.90388	-2.63875	0.73487
7.44	-1.73466	-2.52209	0.78743
7.45	-1.56577	-2.39672	0.83095
7.46	-1.39849	-2.26299	0.8645
7.47	-1.23389	-2.12125	0.88736
7.48	-1.07281	-1.97187	0.89906
7.49	-0.915864	-1.81524	0.899376
7.5	-0.763455	-1.6518	0.888345
7.51	-0.615775	-1.48202	0.866245
7.52	-0.472829	-1.30647	0.833641
7.53	-0.334465	-1.12574	0.791275
7.54	-0.200398	-0.940543	0.740145
7.55	-0.0702484	-0.751657	0.6814086
7.56	0.056424	-0.559947	0.616371
7.57	0.180086	-0.366366	0.546452
7.58	0.301196	-0.171945	0.473141
7.59	0.420174	0.0222168	0.3979572
7.6	0.537371	0.214965	0.322406
7.61	0.65305	0.405105	0.247945
7.62	0.767367	0.591426	0.175941
7.63	0.880359	0.772717	0.107642
7.64	0.991937	0.947796	0.044141
7.65	1.10189	1.11553	-0.01364
7.66	1.20988	1.27487	-0.06499
7.67	1.31546	1.42484	-0.10938
7.68	1.4181	1.56459	-0.14649
